Category: All categories

Region,tesda: (10/11/13 - 10/11/18)
Eastern Visayas,100
Bicol,99
Cagayan Valley,91
Cordillera Administrative Region,84
Caraga,83
Calabarzon,81
Metro Manila,78
MIMAROPA,77
Zamboanga Peninsula,76
Ilocos Region,76
Central Luzon,71
Region XII,68
Northern Mindanao,68
Davao Region,66
Western Visayas,64
Central Visayas,64
Autonomous Region in Muslim Mindanao,46
